,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1534a,1208b,2,1,1,1,2,3,1,3,2,1,0,1,0,2,1,0,1,1,0
1,0562c,0359b,3,0,1,3,2,1,0,2,2,3,2,1,0,2,2,3,0,2,0
2,1487c,1561b,3,1,1,3,0,1,0,0,1,0,0,1,0,2,2,2,1,1,0
3,1267c,0474b,1,0,1,0,2,2,0,1,1,2,1,1,3,2,3,3,3,2,0
4,1330a,0474b,3,2,1,3,2,2,0,0,2,2,1,1,3,2,3,3,3,2,0
5,0517c,1350c,1,1,1,3,0,2,3,2,1,1,4,1,3,0,1,2,1,1,0
6,1394c,1504a,3,2,1,0,2,2,3,2,1,1,0,1,1,2,1,3,0,2,0
7,1540c,0372b,1,2,1,0,2,2,1,0,1,1,1,1,3,1,2,1,2,2,0
8,1442b,0923a,2,2,1,3,2,2,1,4,2,2,1,1,1,1,2,0,2,2,0
9,0405c,0315b,1,0,1,1,2,2,1,2,1,2,1,0,2,2,1,1,3,2,0
10,1543b,1245c,2,1,1,2,2,2,1,0,2,1,0,1,3,2,2,1,4,2,0
11,1416a,1441c,1,1,1,3,2,1,0,4,2,1,1,1,1,2,2,1,1,1,0
12,1453a,0411b,1,1,1,3,2,2,0,4,2,1,2,1,1,2,2,0,1,2,0
13,0353c,0510b,1,2,1,1,2,3,0,1,2,0,1,1,3,0,3,3,3,1,0
14,0544b,0373a,2,1,1,3,2,3,0,0,2,3,0,1,0,0,2,0,2,2,0
15,0562a,1366c,0,1,1,3,2,2,1,4,2,0,1,1,0,2,2,1,1,1,0
16,1153b,0488b,0,4,1,3,2,2,1,2,2,2,0,0,0,2,1,0,0,2,0
17,1153b,1409b,0,4,1,3,2,2,1,2,2,1,1,1,3,2,3,3,1,2,0
18,0520a,0885c,2,4,1,0,2,1,3,3,2,2,1,1,0,1,3,0,0,2,0
19,0581c,0549b,2,4,2,3,2,2,1,2,2,0,1,0,2,2,3,3,4,2,0
20,1475b,1562b,3,1,0,3,2,2,0,3,2,1,2,1,0,0,2,0,2,2,0
21,1520a,1508b,3,2,1,3,2,2,0,2,2,1,1,1,0,2,1,1,0,1,0
22,1328a,0530a,3,1,1,2,2,3,0,0,2,2,4,1,0,2,3,3,4,2,0
23,0435b,1114a,2,1,0,2,2,2,1,0,2,2,1,1,3,0,2,2,0,1,0
24,1365b,0563a,0,4,1,3,2,2,1,0,2,1,1,1,1,0,2,0,2,1,0
25,0354b,0457a,3,1,1,0,2,3,1,4,2,2,3,1,3,2,2,0,1,2,0
26,0576c,0550c,2,4,1,1,2,2,0,2,2,2,0,1,1,2,2,0,4,2,0
27,0577b,0969b,2,1,0,3,2,2,1,2,2,2,0,1,1,2,1,1,2,1,0
28,1361b,1471c,1,0,1,3,2,2,0,4,2,1,1,1,0,0,1,1,1,2,0
29,0365c,1125b,0,4,0,3,0,1,1,2,1,1,1,2,4,3,2,1,2,1,0
30,1365b,0556a,0,4,1,3,2,2,1,0,2,2,1,1,1,0,2,0,4,1,0
31,1201a,0535b,0,1,1,0,2,2,2,3,2,0,0,1,2,2,2,1,4,2,0
32,0564a,1532a,2,1,1,0,2,3,3,2,1,0,2,1,0,2,1,1,1,1,0
33,1405c,1178c,2,3,1,0,2,2,0,1,2,2,4,1,3,0,2,1,0,2,0
34,1196a,0434c,0,1,1,3,2,2,2,1,1,0,1,0,2,2,3,0,3,2,0
35,0472c,1499b,2,1,1,1,2,2,3,2,2,2,1,1,2,2,2,3,4,2,0
36,0355a,0327b,3,2,1,3,2,3,0,3,2,0,1,1,1,1,2,0,3,2,0
37,1341a,1426a,0,2,1,0,2,2,0,2,2,2,0,1,1,2,2,1,2,1,0
38,0354b,1476c,3,1,1,0,2,3,1,4,2,1,2,1,3,0,2,1,1,1,0
39,0892a,0401c,1,0,1,1,2,3,0,0,2,1,3,1,3,0,3,0,4,2,0
40,1391b,1196b,3,4,1,0,2,2,1,4,2,0,2,1,0,2,2,1,2,1,0
41,1330a,1149c,3,2,1,3,2,2,0,0,2,1,1,1,3,2,1,3,3,2,0
42,0368c,0387b,3,1,0,2,2,3,2,2,2,2,2,0,1,0,1,0,2,1,0
43,0538a,0474c,2,1,0,3,2,2,1,4,2,3,4,1,0,2,2,3,1,2,0
44,1546b,0413b,3,1,1,0,0,3,0,3,2,1,1,1,3,0,1,2,2,1,0
45,0424a,0380a,1,2,1,3,2,2,0,1,2,1,4,1,3,2,2,3,1,2,0
46,1544a,0311c,3,4,1,0,2,2,3,4,2,0,0,1,0,0,2,2,1,1,0
47,0525b,1108b,2,3,0,0,2,2,0,3,2,2,2,0,2,2,1,0,0,2,0
48,1204a,0313b,0,0,1,0,2,2,1,0,2,2,1,0,2,2,2,0,0,2,0
49,1309b,0373b,2,2,1,3,2,2,0,0,2,2,1,1,1,2,1,0,0,1,0
50,0571b,0510c,0,1,1,0,2,2,0,0,2,3,1,1,1,2,1,1,0,2,0
51,0306a,0335a,3,1,1,2,2,2,0,1,2,1,1,1,2,2,2,1,0,2,0
52,0405a,1259b,3,0,1,0,2,3,1,2,1,1,0,1,3,2,1,2,2,1,0
53,0389c,0471b,2,0,1,0,2,2,3,2,2,0,0,1,0,1,2,0,2,2,0
54,0536b,0451c,1,0,1,2,2,2,0,3,2,1,0,1,1,2,2,0,2,1,0
55,1463a,1551a,2,1,1,0,2,2,1,1,1,0,1,1,0,2,2,3,3,2,0
56,1433a,1193a,2,2,1,0,2,2,1,0,2,1,4,1,3,2,3,1,1,2,0
57,1513c,0927b,1,1,1,0,1,2,1,1,2,1,4,1,1,2,3,1,1,2,0
58,1191c,0375b,3,4,1,3,2,3,3,4,2,1,3,0,1,0,2,0,2,1,0
59,0531a,1260c,2,2,1,1,2,2,0,3,2,3,2,1,0,2,2,1,1,2,0
60,1236c,1039c,1,1,1,1,2,3,0,1,2,2,4,1,0,2,2,3,1,2,0
