,0,1,2,3,4,5,6,7,8,9,10,11
0,1421a,0488b,1,0,1,0,0,1,3,3,0,0
1,1099a,0525b,0,2,1,3,2,0,2,0,0,0
2,1447b,1363b,1,3,0,1,2,0,2,1,0,0
3,0594a,1107c,3,0,0,3,0,0,0,4,0,0
4,1528c,0474b,2,0,0,0,0,1,3,3,0,0
5,1375b,1178c,1,0,0,0,2,0,1,3,0,0
6,0350a,0564c,3,1,0,1,0,1,1,0,0,0
7,1367c,1538b,1,1,0,0,2,2,0,2,1,0
8,1483a,1433c,1,3,0,3,0,1,1,3,0,0
9,1521a,0374c,0,1,0,3,0,0,2,1,0,0
10,1364c,1441b,0,2,0,0,2,0,1,1,0,0
11,1245c,0923c,0,1,0,1,0,1,1,0,0,0
12,0551c,0923a,1,1,0,1,1,0,0,0,0,0
13,0334b,0461b,0,1,0,0,0,0,1,1,1,0
14,1365c,0353b,0,1,0,0,0,1,0,0,1,0
15,0337a,1506a,0,0,1,0,2,0,2,2,1,0
16,0451a,1426c,1,1,0,0,0,2,1,2,0,0
17,0525c,1174b,1,1,0,1,1,1,1,3,1,0
18,1382c,1343a,0,2,0,0,0,1,0,1,0,0
19,1090a,1511c,1,1,1,0,2,2,1,1,0,0
20,0485b,1533a,1,2,1,3,1,1,0,1,0,0
21,0424a,1134a,1,2,0,0,0,0,1,1,0,0
22,1368b,0924c,3,0,0,1,0,1,1,3,1,0
23,1352b,0496e,0,0,1,2,0,1,2,1,0,0
24,0338a,1465b,2,3,0,1,0,2,1,1,0,0
25,1193a,1098a,1,3,1,2,2,2,0,0,1,0
26,1234b,1449c,2,1,0,1,2,0,2,2,1,0
27,1335b,0525b,0,1,1,0,0,0,3,1,0,0
28,0458c,1567b,0,1,1,2,0,0,0,3,0,0
29,0357a,1098a,3,3,1,0,2,2,1,2,1,0
30,1329c,0938b,2,0,1,2,0,1,2,2,0,0
31,1204a,0492a,3,4,0,1,0,0,1,4,0,0
32,0314b,0318c,3,2,0,3,0,0,0,2,0,0
33,1325a,0563a,2,0,0,1,1,0,0,1,1,0
34,1255a,0564a,1,0,0,0,0,1,2,2,0,0
35,1446a,1375a,0,1,0,2,0,0,1,1,0,0
36,0350b,1123b,2,1,0,3,0,1,0,3,0,0
37,1314a,0330a,0,1,0,0,0,1,2,3,1,0
38,1543b,1341b,0,3,0,2,0,1,1,2,0,0
39,1510b,1237c,1,0,1,2,0,0,1,1,0,0
40,1543a,1394a,1,0,0,3,0,0,1,3,1,0
41,0579c,0327c,1,0,0,1,0,1,0,2,0,0
42,1335b,0405c,1,2,0,1,0,0,2,0,1,0
43,0897c,1394c,1,2,0,3,0,1,2,1,1,0
44,0322b,0385a,1,1,0,1,1,1,3,1,0,0
45,1178a,0350c,1,4,0,3,1,1,0,1,0,0
46,0477a,0507b,2,0,0,2,0,0,1,4,0,0
47,1538b,1181b,0,1,1,1,2,1,1,1,1,0
48,1262a,1259a,1,0,1,3,0,0,1,1,0,0
49,0600a,1448a,0,0,0,0,0,0,0,3,1,0
50,1149c,0375b,0,2,1,2,2,1,3,1,1,0
51,1429a,0330a,0,2,0,1,0,0,1,1,0,0
52,0924b,1219c,1,4,1,2,2,1,1,1,1,0
53,0456a,1334c,1,3,1,1,0,1,1,1,0,0
54,0600a,0414a,1,1,0,0,0,1,0,1,0,0
55,0552a,1444b,1,1,0,1,0,0,1,2,0,0
56,1164c,0402b,0,3,0,0,0,1,1,0,0,0
57,0459b,1271c,2,1,1,4,0,1,1,1,0,0
58,1257b,0472a,0,3,0,3,0,1,0,3,0,0
59,0491c,1358b,1,2,1,1,0,0,0,3,0,0
60,1260a,0321b,3,1,0,2,0,0,1,0,0,0
61,1382a,1240c,0,1,1,0,0,1,0,2,0,0
62,0380a,0405a,2,4,0,3,0,1,2,1,1,0
63,1422a,1363a,3,4,1,2,2,1,1,0,0,0
64,1107c,0304a,2,1,0,2,0,2,0,2,0,0
65,0550b,1426a,1,0,0,1,0,0,1,2,1,0
66,1335a,1374b,1,0,0,0,0,1,2,1,1,0
67,0374b,1367a,1,4,0,2,0,0,3,1,0,0
68,1227b,1237c,1,0,1,1,0,1,0,3,0,0
69,1303c,0537b,1,3,1,3,2,0,1,0,0,0
70,1554a,0553b,0,0,0,2,2,1,1,0,1,0
71,1447a,1421b,1,0,0,0,0,1,1,2,1,0
72,1430b,1506a,1,0,1,2,1,0,1,3,0,0
73,1475b,1373a,0,3,1,0,0,0,2,2,0,0
74,0445a,1286b,1,2,0,0,2,1,0,1,0,0
75,0924c,1152a,3,3,1,2,0,0,2,1,1,0
76,0335a,1475b,2,0,1,1,0,0,1,3,0,0
77,0584a,1091b,0,0,0,1,0,0,2,1,1,0
78,0306a,1364c,1,1,0,2,0,0,1,2,0,0
79,1408a,0311c,3,1,1,3,2,1,2,2,1,0
80,1259a,0892c,2,2,0,2,0,1,0,3,0,0
81,1484c,0347a,1,3,0,3,0,2,1,2,0,0
82,1429b,1155b,1,0,0,3,0,1,1,1,0,0
83,0331a,0950a,1,0,1,3,2,0,1,0,1,0
84,1408c,1381a,1,3,1,1,2,0,0,1,1,0
85,1485a,0366b,0,3,1,4,1,0,2,0,0,0
86,0496c,1253a,0,4,0,3,0,0,3,1,0,0
87,1520c,0317b,2,3,1,3,1,0,2,2,0,0
88,0563a,1217b,0,0,0,0,0,0,1,0,0,0
89,1198a,1440b,3,4,2,2,2,0,0,0,1,0
90,1236a,0313c,3,1,0,0,0,0,1,2,1,0
91,1565a,1554c,1,4,0,0,0,0,1,0,0,0
92,0491c,0461b,0,1,0,0,0,0,2,4,1,0
93,1361b,0938b,1,1,1,1,0,1,1,2,0,0
94,0969a,1057b,1,2,1,1,2,0,0,2,0,0
95,0923a,1494c,1,3,0,2,1,1,3,1,0,0
96,0355c,1504b,2,0,0,2,1,1,0,3,0,0
97,1284b,1303a,2,3,0,3,0,0,0,3,0,0
98,1152b,1533b,1,1,0,1,0,0,0,1,0,0
99,1230a,1534a,2,0,0,1,0,1,1,0,0,0
100,0537b,1561b,2,1,1,3,2,0,1,3,1,0
101,0387b,0366b,1,1,2,3,3,1,0,0,1,0
102,1273a,0405a,2,2,0,0,2,1,0,2,1,0
103,1240c,1507b,1,1,1,1,0,1,2,1,0,0
104,0531a,1411c,2,1,0,2,0,1,0,1,0,0
105,0492a,1374a,0,2,1,1,0,1,0,0,0,0
106,0381b,1499b,1,0,0,2,0,1,3,0,0,0
107,1546b,1036c,2,3,0,0,0,1,2,3,0,0
108,0600a,1204a,2,1,0,0,0,1,1,3,0,0
